epoch;accuracy;f1_m;loss;precision_m;recall_m;val_accuracy;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.8171353340148926;0.06792770326137543;0.48260876536369324;0.12030041217803955;0.05376884341239929;0.9026486873626709;0.15458835661411285;0.29664137959480286;0.1984127014875412;0.12908653914928436
1;0.8898207545280457;0.614824652671814;0.2628442347049713;0.7934831976890564;0.5349065661430359;0.926328718662262;0.1625201255083084;0.1987026333808899;0.19814813137054443;0.14021100103855133
2;0.9249465465545654;0.7683159112930298;0.21832375228405;0.8381041288375854;0.7293967008590698;0.9405367374420166;0.17144633829593658;0.1712769716978073;0.19722221791744232;0.15356570482254028
3;0.9368525147438049;0.8134180307388306;0.18663546442985535;0.8538843989372253;0.7918605804443359;0.9468514323234558;0.18168826401233673;0.1462944746017456;0.19861111044883728;0.16883012652397156
4;0.9438579082489014;0.8385269641876221;0.16716010868549347;0.8687835931777954;0.8255767226219177;0.9566742777824402;0.17975181341171265;0.12536796927452087;0.20000000298023224;0.16481035947799683
5;0.950567364692688;0.8525469899177551;0.14883846044540405;0.8822206258773804;0.8379237055778503;0.9575513005256653;0.1886424422264099;0.1216474249958992;0.20000000298023224;0.1793936789035797
6;0.957901656627655;0.8770591616630554;0.12945440411567688;0.8961842656135559;0.8682219386100769;0.9666725397109985;0.18417572975158691;0.09601116180419922;0.20000000298023224;0.17192842066287994
7;0.9596776962280273;0.8826913237571716;0.12410981208086014;0.9038469195365906;0.8738913536071777;0.9680757522583008;0.1876542866230011;0.0890360027551651;0.20000000298023224;0.1774706244468689
8;0.962670624256134;0.8900152444839478;0.11646994948387146;0.907823920249939;0.8834037184715271;0.974039614200592;0.19003786146640778;0.08145330101251602;0.20000000298023224;0.1818242371082306
9;0.9650715589523315;0.8953478336334229;0.109000563621521;0.9125909805297852;0.8877438902854919;0.9708822965621948;0.18692176043987274;0.08121072500944138;0.19898991286754608;0.17694978415966034
10;0.9656635522842407;0.9001219868659973;0.10607019066810608;0.9119942784309387;0.8977167010307312;0.9784248471260071;0.19303637742996216;0.06946577876806259;0.20000000298023224;0.1870192140340805
11;0.9684920310974121;0.9064872860908508;0.10089552402496338;0.9176220297813416;0.9032458662986755;0.974565863609314;0.1928221881389618;0.07201775908470154;0.19898991286754608;0.18754005432128906
12;0.970596969127655;0.9114422798156738;0.09478699415922165;0.9263755679130554;0.9053825736045837;0.9754428863525391;0.18772970139980316;0.07500118762254715;0.20000000298023224;0.17801816761493683
13;0.9711231589317322;0.9172793030738831;0.09010931849479675;0.9283608794212341;0.9141358733177185;0.978600263595581;0.1912512481212616;0.06479807198047638;0.20000000298023224;0.18372060358524323
14;0.973129391670227;0.9212911128997803;0.08491858094930649;0.9357345104217529;0.9142677187919617;0.9791264533996582;0.19044028222560883;0.06538219004869461;0.20000000298023224;0.18251869082450867
15;0.9734582901000977;0.9219354391098022;0.08579118549823761;0.9339646697044373;0.9178303480148315;0.9791264533996582;0.19304229319095612;0.05974363163113594;0.19907408952713013;0.1877003163099289
16;0.9743792414665222;0.9262804985046387;0.08123697340488434;0.9384296536445618;0.9217126965522766;0.9805297255516052;0.1913849264383316;0.06326676905155182;0.20000000298023224;0.18389421701431274
17;0.9749712347984314;0.9258422255516052;0.0795581117272377;0.9366814494132996;0.9226109385490417;0.9778985977172852;0.18978159129619598;0.06745339184999466;0.20000000298023224;0.18130341172218323
18;0.9751027822494507;0.9277715086936951;0.07809137552976608;0.9418867230415344;0.920645534992218;0.9791264533996582;0.19129231572151184;0.06491702049970627;0.20000000298023224;0.18389421701431274
19;0.9760565757751465;0.9303708672523499;0.07485031336545944;0.9424877762794495;0.9247823357582092;0.978775680065155;0.18905065953731537;0.06939444690942764;0.20000000298023224;0.1800881326198578
20;0.977898359298706;0.9361184239387512;0.07150653749704361;0.9481605887413025;0.9301713109016418;0.9801788926124573;0.19164875149726868;0.05939454585313797;0.20000000298023224;0.1844150573015213
21;0.976878821849823;0.9306399822235107;0.07375165075063705;0.9402192831039429;0.9275215268135071;0.9817575812339783;0.1924843043088913;0.05865252763032913;0.20000000298023224;0.18597754836082458
22;0.9778326153755188;0.9365186095237732;0.07176622003316879;0.9437599778175354;0.9347831606864929;0.9812313914299011;0.19186511635780334;0.05734146013855934;0.20000000298023224;0.18493588268756866
23;0.9771090149879456;0.9317619800567627;0.07338369637727737;0.94004225730896;0.930603563785553;0.9838624596595764;0.19241441786289215;0.05680900067090988;0.20000000298023224;0.18580394983291626
24;0.976878821849823;0.933502197265625;0.07142245024442673;0.9448643326759338;0.9286661148071289;0.9829854369163513;0.19310224056243896;0.05635533109307289;0.20000000298023224;0.18700586259365082
25;0.978424608707428;0.9375749230384827;0.06953152269124985;0.9441115856170654;0.9362421035766602;0.9805297255516052;0.19149117171764374;0.05752725526690483;0.20000000298023224;0.18424144387245178
26;0.9795757532119751;0.9423943758010864;0.06553955376148224;0.9501738548278809;0.9394737482070923;0.9843887090682983;0.19420920312404633;0.05276918411254883;0.20000000298023224;0.18908920884132385
27;0.9788192510604858;0.9383190274238586;0.06702522188425064;0.9475750923156738;0.9351714849472046;0.9831608533859253;0.19421225786209106;0.0516354963183403;0.20000000298023224;0.18910256028175354
28;0.9785561561584473;0.9374365210533142;0.0647890567779541;0.9423463344573975;0.9369819164276123;0.9829854369163513;0.19472402334213257;0.05413304641842842;0.20000000298023224;0.19014422595500946
29;0.9797073006629944;0.9392204880714417;0.06298214942216873;0.9470794796943665;0.9371328949928284;0.9829854369163513;0.19260059297084808;0.057490795850753784;0.20000000298023224;0.1861511617898941
