epoch;accuracy;f1_m;loss;precision_m;recall_m;val_accuracy;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.9069104194641113;0.6080493927001953;0.23878441751003265;0.6972283720970154;0.579028308391571;0.9538404941558838;0.16711260378360748;0.1305469423532486;0.18557190895080566;0.1530846208333969
1;0.956686794757843;0.8634665012359619;0.13669568300247192;0.8850147128105164;0.8564968705177307;0.9590103626251221;0.1768227368593216;0.11172368377447128;0.1851520538330078;0.1694982945919037
2;0.9680742025375366;0.900285542011261;0.10822442919015884;0.9129018783569336;0.8982264399528503;0.9700886011123657;0.17726683616638184;0.08460569381713867;0.18557190895080566;0.16979974508285522
3;0.9722188115119934;0.9142035245895386;0.0884167030453682;0.9187218546867371;0.9187703728675842;0.9741506576538086;0.17660537362098694;0.07235261052846909;0.18558140099048615;0.16870424151420593
4;0.9747219681739807;0.9217129349708557;0.07731709629297256;0.9217747449874878;0.9301757216453552;0.9778434038162231;0.1815633475780487;0.06803471595048904;0.1860465109348297;0.1773471236228943
5;0.9778817296028137;0.9305782914161682;0.06964374333620071;0.9291125535964966;0.9387747645378113;0.9763663411140442;0.18213266134262085;0.06634870171546936;0.18560771644115448;0.17886251211166382
6;0.9791538715362549;0.9353192448616028;0.06396867334842682;0.930015504360199;0.9469957947731018;0.9804283380508423;0.1827663779258728;0.05260777845978737;0.18560771644115448;0.18002529442310333
7;0.980384886264801;0.939972460269928;0.05937821418046951;0.9380756616592407;0.9481231570243835;0.981905460357666;0.1798001229763031;0.055201321840286255;0.18559928238391876;0.17465278506278992
8;0.9814518690109253;0.9418186545372009;0.05787661299109459;0.9392150044441223;0.9511052370071411;0.9807976484298706;0.1796618551015854;0.054796259850263596;0.1860465109348297;0.17386412620544434
9;0.9820058345794678;0.9448498487472534;0.05378687381744385;0.9401257038116455;0.9555737972259521;0.977104902267456;0.18180666863918304;0.06290376931428909;0.18559928238391876;0.17835918068885803
10;0.9826213717460632;0.9460752010345459;0.05161353945732117;0.9418577551841736;0.9561313986778259;0.9811668992042542;0.18071164190769196;0.05214777961373329;0.1860465109348297;0.17588286101818085
11;0.9820468425750732;0.9441460371017456;0.05133790150284767;0.9384709596633911;0.9551877975463867;0.9807976484298706;0.18208885192871094;0.047559257596731186;0.1860465109348297;0.17849375307559967
12;0.9850219488143921;0.9536606073379517;0.04655245319008827;0.9486233592033386;0.9639049172401428;0.9841211438179016;0.18143457174301147;0.05243278294801712;0.18559928238391876;0.1776324361562729
13;0.9846936464309692;0.9531638622283936;0.045863159000873566;0.9495577812194824;0.961318850517273;0.9848596453666687;0.18244260549545288;0.04478663578629494;0.18561585247516632;0.17958387732505798
14;0.9847142100334167;0.9527876377105713;0.04409932717680931;0.9469814300537109;0.963135302066803;0.9837518334388733;0.18188445270061493;0.04010086506605148;0.18561585247516632;0.17849375307559967
15;0.9853502511978149;0.9549989104270935;0.04232283681631088;0.9495662450790405;0.9647852182388306;0.9870753288269043;0.1813645362854004;0.04276714101433754;0.18560771644115448;0.17740902304649353
16;0.9855964779853821;0.9554911851882935;0.04225289821624756;0.9529169797897339;0.9629155397415161;0.985228955745697;0.18335391581058502;0.04233498126268387;0.18561585247516632;0.18118271231651306
17;0.9859657883644104;0.9569494128227234;0.03994021937251091;0.9523645639419556;0.9656280875205994;0.9837518334388733;0.18272918462753296;0.04253750294446945;0.18561585247516632;0.18001991510391235
18;0.9857605695724487;0.9561495780944824;0.041056592017412186;0.9513524174690247;0.9654948711395264;0.9870753288269043;0.18276040256023407;0.0420866496860981;0.1856236755847931;0.18008720874786377
19;0.9857605695724487;0.9566932320594788;0.04047657176852226;0.9543429613113403;0.9637881517410278;0.981905460357666;0.1834704428911209;0.05066926032304764;0.18561585247516632;0.18147340416908264
20;0.98619145154953;0.9569840431213379;0.039712365716695786;0.952328085899353;0.9661770462989807;0.9870753288269043;0.18288284540176392;0.041229333728551865;0.18560771644115448;0.1803160011768341
21;0.9871763586997986;0.9604277014732361;0.036519382148981094;0.9556926488876343;0.9691953659057617;0.9855982065200806;0.1837209165096283;0.04278416186571121;0.1860465109348297;0.18154069781303406
22;0.9865197539329529;0.9580938220024109;0.038373708724975586;0.9522169232368469;0.9684839844703674;0.9822747707366943;0.1834704577922821;0.042282719165086746;0.18561585247516632;0.18147340416908264
23;0.9879149794578552;0.9624218940734863;0.03497196361422539;0.9576588273048401;0.9717433452606201;0.9841211438179016;0.1825430989265442;0.0450679250061512;0.18561585247516632;0.17965655028820038
24;0.9868890643119812;0.9598098993301392;0.03710533678531647;0.953303873538971;0.9705854058265686;0.9844903945922852;0.1808093786239624;0.04398748651146889;0.18560771644115448;0.1763189136981964
